Vocabulary: BAND 1 - Translation,,,,,,,
a/an,)לפני שם עצם),also,גם,home,בית,between,בין/ בתוך
about,"אודות ,על",always,תמיד,August,(שם של חודש) ,big,גדול
above,מעל,"I'm, am",אני (זמן הווה),autumn,סתיו,birthday,יום הולדת
across,מעבר,and,ו- ,away,הרחק,a bit of,קצת
action,פעולה,angry,כועס,back,חזור,black,שחור
Address (n),כתובת,animal,"בהמה, חיה",,,blue,כחול
afraid,מפחד,another,עוד( אחד),bad,רע,board,לוח
after,אחרי,(n (answer,תשובה,bag,תיק,body,גוף
afternoon,"אחה""צ",(v (answer,לענות,baby,תינוק,book,ספר
again,שוב,any,כל /איזה,be,להיות,bored,משועמם
age,גיל,anyone,כל אחד,beautiful,יפה,boring,משעמם
ago,לפני עכשיו,anything,כל דבר,because,בג לל ש- ,bottle,בקבוק
agree,מסכים,appear,להופיע,because of,בגלל ה- ,box,קופסא
all,כל ה- ,April,(שם של חודש) ,bed,מיטה,boy,בן
(not(,לא,are,(זמן הווה) ,before,לפני,bread,לחם
at,ב- ,arrive,להגיע,begin,להתחיל,Break(v),לשבור
all,כל ה- ,at,ב- ,behind,מאחור,breakfast,ארוחת בוקר
almost,כמעט,ask,לשאול,believe,להאמין,bring,להביא
alone,לבד,ask for,לבקש,beside,על יד,brother,אח
alphabet,סדר האלף-בית,at,,best,הכי טוב,brown,חום
already,כבר,at,,better,יותר טוב,build,לבנות
1,,,,,,,
Vocabulary: BAND 1 - Translation,,,,,,,
bus,אוטובוס,cheap,זול,country,"ארץ ,מדינה",doctor,"דוקטור, רופא"
busy,עסוק,children,ילדים,of course,בוודאי,do,לעשות
but,אבל,(child(,ילד,Cross the,לעבור את הכביש/,dog,כלב
buy,לקנות,chocolate,שוקולד,street/road,רחוב,Don't…!,אל!...
by,על יד /ידי,class,כיתה,(v (cry,לבכות,,
By the way,דרך אגב,classroom,חדר לימוד,(v (cut,לחתוך,door,דלת
call,להתקשר,(v (clean,לנקות,dad,אבא,down,למטה
call,לקרוא,(adj (clean,נקי,dark,חשוך,draw,לצייר
,,clear,בהיר,date,תאריך,(n (dress,שמלה
(v (can,יכול,(v (close,לסגור,daughter,בת( של),(v (drink,לשתות
capital,(עיר) בירה,(adj (closed,סגור,day,יום,(v (drive,לנהוג
Capital (letter),(אות )גדולה,coffee,קפה,Have a good day,שיהיה לך יום טוב,(adj (dry,יבש
car,מכונית,cold,קר,Dear,(לפלוני )היקר,each,כל אחד
Takecare!,שמור על עצמך!,color,צבע,(letter/email),,early,מוקדם
careful,זהיר,come,לבוא,,,ears,אוזניים
Be careful !,תזהר!,come back ,לחזור,December,שם של חודש,easy,קל
cat,חתול,computer,מחשב,decide,להחליט,eat,לאכול
catch,לתפוס,cool,קריר,dictionary,מילון,eighteen,18
center,מרכז,(v (copy,להעתיק,different,שונה,eighty,80
chair,כסא,(v (cost,להעלות,difficult,קשה,eleven,11
(v (change,לשנות,count,לספור,,,,
2,,,,,,,
Vocabulary: BAND 1 - Translation,,,,,,,
email,"דוא""ל",in fact,"באמת,",Fine!,בסדר גמור!,friend,חבר
the end,הסוף,fair,הוגן,,,from,מ-
In the end,בסוף,That's not fair!,זה לא הוגן,finish,לסיים,in front of,ממול
